position,idleness,deallocated,lessThan10,moreThan10,preferences,professors
48,0.011389521640091117,0.0,0.0,NaN,0.0,0.9379310344827586
49,0.009111617312072893,0.0,0.0,NaN,0.0,0.42758620689655175
50,0.015945330296127564,0.0,0.0,NaN,0.0,0.43448275862068964
51,0.018223234624145785,0.0,0.0,NaN,0.0,0.43448275862068964
52,0.03416856492027335,0.0,0.0,NaN,0.0,0.9172413793103448
53,0.022779043280182234,0.0,0.0,NaN,0.0,0.8689655172413793
54,0.0774487471526196,0.0,0.0,NaN,0.0,0.5586206896551724
55,0.018223234624145785,0.0,0.0,NaN,0.0,0.8344827586206897
56,0.02050113895216401,0.0,0.0,NaN,0.0,0.4206896551724138
57,0.00683371298405467,0.0,0.0,NaN,0.0,0.5517241379310345
58,0.022779043280182234,0.0,0.0,NaN,0.0,0.903448275862069
59,0.018223234624145785,0.0,0.0,NaN,0.0,0.9103448275862069
60,0.04555808656036447,0.0,0.0,NaN,0.0,0.36551724137931035
61,0.01366742596810934,0.0,0.0,NaN,0.0,0.6689655172413793
62,0.03416856492027335,0.0,0.0,NaN,0.0,0.4068965517241379
63,0.018223234624145785,0.0,0.0,NaN,0.0,0.9172413793103448
64,0.03644646924829157,0.0,0.0,NaN,0.0,0.5517241379310345
65,0.3621867881548975,0.0,0.0,NaN,0.0,0.20689655172413793
66,0.029612756264236904,0.0,0.0,NaN,0.0,0.4482758620689655
67,0.03644646924829157,0.0,0.0,NaN,0.0,0.8551724137931035
68,0.018223234624145785,0.0,0.0,NaN,0.0,0.9586206896551724
69,0.018223234624145785,0.0,0.0,NaN,0.0,0.9655172413793104
70,0.04100227790432802,0.0,0.0,NaN,0.0,0.6
71,0.03189066059225513,0.0,0.0,NaN,0.0,0.8275862068965517
72,0.03644646924829157,0.0,0.0,NaN,0.0,0.9379310344827586
73,0.09339407744874716,0.0,0.0,NaN,0.4,0.3586206896551724
74,0.018223234624145785,0.0,0.0,NaN,0.0,0.6620689655172414
75,0.004555808656036446,0.0,0.0,NaN,0.0,0.45517241379310347
76,0.018223234624145785,0.0,0.0,NaN,0.0,0.7655172413793103
77,0.015945330296127564,0.0,0.0,NaN,0.0,0.4896551724137931
78,0.025056947608200455,0.0,0.0,NaN,0.0,0.6827586206896552
79,0.025056947608200455,0.0,0.0,NaN,0.0,0.8896551724137931
80,0.8291571753986332,0.0,0.0,NaN,0.0,0.020689655172413793
81,0.00683371298405467,0.0,0.0,NaN,0.0,0.896551724137931
82,0.00683371298405467,0.0,0.0,NaN,0.0,0.5793103448275863
